,Reference,Name,Pronunciation,Image_Reference,Length,Type,Diet,Period,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement
0,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html,Aardonyx,ar-don-ix,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aardonyx.jpg,8.0m,sauropod,herbivorous,"Early Jurassic, 199-189 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria","Yates, Bonnan, Neveling, Chinsamy and Blackbeard 2010 (2009)",celestae,,,
1,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,Abelisaurus,ah-BEEL-ee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/abeli.jpg,9.0m,large theropod,carnivorous,"Late Cretaceous, 74-70 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauridae, Abelisaurinae",Bonaparte and Novas (1985),comahuensis,,,
2,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,Achelousaurus,ah-KEL-oo-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/achelou.jpg,6.0m,ceratopsian,herbivorous,"Late Cretaceous, 83-70 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Sampson  (1995),horneri,,,
3,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,Achillobator,a-kil-oh-bah-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Achillobator.jpg,5.0m,large theropod,carnivorous,"Late Cretaceous, 99-84 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Paraves, Eumaniraptora, Dromaeosauridae","Perle, Norell and Clark (1999)",giganteus,,,
4,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,Acrocanthosaurus,ah-kroh-kan-tho-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/acrocantho.jpg,12.0m,large theropod,carnivorous,"Early Cretaceous, 115-105 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Carcharodontosauridae",Stovall and Langston (1950),atokensis,,,
5,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,Aegyptosaurus,ee-JIP-toe-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aegypto.jpg,15.0m,sauropod,herbivorous,"Late Cretaceous, 98-93 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Stromer (1932),baharijensis,,,
6,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,Afrovenator,aff-ROW-ven-ah-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/afrovenator.jpg,9.0m,large theropod,carnivorous,"Early Cretaceous, 132-121 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Spinosauroidea, Megalosauridae, Eustreptospondylinae","Sereno, Wilson, Larsson, Dutheil and Sues (1944)",abakensis,,,
7,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,Agilisaurus,aj-i-li-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Agilisaurus.jpg,1.5m,euornithopod,herbivorous,"Late Jurassic, 169-159 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda",Peng (1990),louderbacki,,,
8,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,Alamosaurus,ah-la-mow-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alamo.jpg,21.0m,sauropod,herbivorous,"Late Cretaceous, 70-65 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Gilmore (1922),sanjuanensis,,,
9,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,Albertaceratops,al-bert-a-serra-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albertaceratops.jpg,7.0m,ceratopsian,herbivorous,"Late Cretaceous, 80-75 million years ago",Mongolia,"Dinosauria, Ornithischia",Ryan 2007,nesmoi,,,
