,Reference,Name,Pronunciation,Image_Reference,Length,Type,Diet,Period,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement,period_group,period_specific
92,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html,Edmontosaurus,ed-MON-toe-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/edmonto.jpg,13.0m,euornithopod,herbivorous,"Late Cretaceous, 76-65 million years ago",Canada,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Lambe (1917),regalis,"horny beak and 1,000 grinding cheek teeth","tough pine needles, cones and twigs",on 2 or 4 legs,Late Cretaceous, 76-65 million years ago
93,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html,Einiosaurus,ie-nee-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Einiosaurus.jpg,6.0m,ceratopsian,herbivorous,"Late Cretaceous, 74 million years ago",Canada,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Sampson  (1995),procurvicornis,,,,Late Cretaceous, 74 million years ago
94,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html,Elaphrosaurus,el-a-fro-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Elaphrosaurus.jpg,6.2m,large theropod,carnivorous,"Late Jurassic, 154-151 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria",Janensch (1920),bambergi,,,,Late Jurassic, 154-151 million years ago
95,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html,Emausaurus,em-ow-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Emausaurus.jpg,2.0m,armoured dinosaur,herbivorous,"Mid Jurassic, 190-180 million years ago",Canada,"Dinosauria, Ornithischia, Genasauria, Thyreophora",Haubold (1991),ernsti,,,,Mid Jurassic, 190-180 million years ago
96,https://www.nhm.ac.uk/discover/dino-directory/eolambia.html,Eolambia,ee-oh-lam-bee-ah,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eolambia.jpg,,euornithopod,herbivorous,"Late Cretaceous, 99-94 million years ago",Canada,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Kirkland (1998),caroljonesa,,,,Late Cretaceous, 99-94 million years ago
97,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html,Eoraptor,EE-oh-RAP-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/eor.jpg,1.0m,small theropod,carnivorous,"Late Triassic, 228 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda","Sereno, Forster, Rogers and Monetta (1993)",lunensis,"small, razor-sharp, backward-curving teeth",vertebrates,on 2 legs,Late Triassic, 228 million years ago
98,https://www.nhm.ac.uk/discover/dino-directory/eotyrannus.html,Eotyrannus,ee-oh-ti-ran-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eotyrannus.jpg,5.0m,large theropod,carnivorous,"Early Cretaceous, 127-121 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Tyrannosauroidea","Hutt, Naish, Martill, Barker and Newberry (2001)",lengi,,,,Early Cretaceous, 127-121 million years ago
99,https://www.nhm.ac.uk/discover/dino-directory/equijubus.html,Equijubus,ee-kwee-joo-bus,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Equijubus.jpg,,euornithopod,herbivorous,"Early Cretaceous, 127-99 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea","You, Luo, Shubin, Witmer, Tang and Tang (2003)",normani,,,,Early Cretaceous, 127-99 million years ago
100,https://www.nhm.ac.uk/discover/dino-directory/erketu.html,Erketu,er-kee-tu,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Erketu.jpg,15.0m,sauropod,herbivorous,Early Cretaceous,Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Ksepka and Norell (2006),ellisoni,,,,Early Cretaceous,
101,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html,Erlikosaurus,er-lik-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Erlikosaurus.jpg,3.4m,small theropod,omnivorous,"Late Cretaceous, 99-89 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae",Perle vide Barsbold and Perle (1980),andrewsi,,,,Late Cretaceous, 99-89 million years ago
102,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html,Euhelopus,yoo-hel-oh-pus,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Euhelopus.jpg,10.0m,sauropod,herbivorous,"Late Jurassic, 154-142 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda",Wiman (1929),zdanskyi,,,,Late Jurassic, 154-142 million years ago
