Reference,Name,Pronunciation,Image_Reference,Type,Diet,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement,length_in_meter,period_group,period_specific,earliest_period,latest_period,estimated_living_duration,taxonomy_level_0,taxonomy_level_1,taxonomy_level_2,taxonomy_level_3,taxonomy_level_4,taxonomy_level_5,taxonomy_level_6,taxonomy_level_7,taxonomy_level_8,taxonomy_level_9,taxonomy_level_10,taxonomy_level_11,taxonomy_level_12,taxonomy_level_13,taxonomy_level_14,taxonomy_level_15,taxonomy_level_16,named_by_year
https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html,Shantungosaurus,shan-TUN-go-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/shantung.jpg,euornithopod,herbivorous,"China,Mongolia,Russia",Dinosauria > Ornithischia > Genasauria > Cerapoda > Ornithopoda > Euornithopoda > Iguanadontia > Euiguanadontia > Dryomorpha > Ankylopollexia > Iguanodontoidea > Hadrosauridae > Euhadrosauria > Hadrosaurinae,Hu (1973),giganteus,,,,15.0,Late Cretaceous, 78-74 million years ago,78,74,4,Dinosauria , Ornithischia , Genasauria , Cerapoda , Ornithopoda , Euornithopoda , Iguanadontia , Euiguanadontia , Dryomorpha , Ankylopollexia , Iguanodontoidea , Hadrosauridae , Euhadrosauria , Hadrosaurinae,,,,1973
https://www.nhm.ac.uk/discover/dino-directory/shunosaurus.html,Shunosaurus,SHOON-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/shuno.jpg,sauropod,herbivorous,"China,Mongolia,Russia",Dinosauria > Saurischia > Sauropodomorpha > Sauropoda > Eusauropoda,"Dong, Zhou and Zhang (1983)",lii,,,,10.0,Mid Jurassic, 170-160 million years ago,170,160,10,Dinosauria , Saurischia , Sauropodomorpha , Sauropoda , Eusauropoda,,,,,,,,,,,,,1983
https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html,Shuvuuia,shu-voo-ee-ah,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Shuvuuia.jpg,small theropod,omnivorous,"China,Mongolia,Russia",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Maniraptoriformes > Maniraptora > Alvarezsauridae,"Chiappe, Norell and Clark (1998)",deserti,,,,0.6,Late Cretaceous, 75-81 million years ago,75,81,6,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Maniraptoriformes , Maniraptora , Alvarezsauridae,,,,,,,1998
https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html,Silvisaurus,sil-vi-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Silvisaurus.jpg,armoured dinosaur,herbivorous,"China,Mongolia,Russia",Dinosauria > Ornithischia > Genasauria > Thyreophora > Ankylosauromorpha > Ankylosauria > Nodosauridae,Eaton (1960),condrayi,,,,4.0,Early Cretaceous, 121-112 million years ago,121,112,9,Dinosauria , Ornithischia , Genasauria , Thyreophora , Ankylosauromorpha , Ankylosauria , Nodosauridae,,,,,,,,,,,1960
https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html,Sinocalliopteryx,sie-no-kall-ee-op-ter-iks,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/sinocalliopteryx.jpg,small theropod,carnivorous,"China,Mongolia,Russia",Dinosauria > Saurischia,"Ji, Ji, LÃ¼ and Yuan (2007)",gigas,,,,2.37,Early Cretaceous, 125 million years ago,125,0,125,Dinosauria , Saurischia,,,,,,,,,,,,,,,,2007
https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html,Sinornithosaurus,sine-or-nith-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinornithosaurus.jpg,small theropod,carnivorous,"China,Mongolia,Russia",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Maniraptoriformes > Maniraptora > Paraves > Eumaniraptora > Dromaeosauridae,"Xu, Wang and Wu (1999)",millenii,,,,2.0,Early Cretaceous, 122-120 million years ago,122,120,2,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Maniraptoriformes , Maniraptora , Paraves , Eumaniraptora , Dromaeosauridae,,,,,1999
https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html,Sinosauropteryx,sine-oh-sore-op-ter-iks,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinosauropteryx.jpg,small theropod,carnivorous,"China,Mongolia,Russia",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Compsognathidae,Ji and Ji (1996),prima,,,,1.0,Early Cretaceous, 122-120 million years ago,122,120,2,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Compsognathidae,,,,,,,,,,1996
https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html,Sinovenator,sien-oh-vee-nay-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinvenator.jpg,small theropod,carnivorous,"China,Mongolia,Russia",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Maniraptoriformes > Maniraptora > Paraves > Eumaniraptoria > Troodontidae,"Xu, Norell, Wang, Makovicky and Wu (2002)",changii,,,,1.0,Early Cretaceous, 127-121 million years ago,127,121,6,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Maniraptoriformes , Maniraptora , Paraves , Eumaniraptoria , Troodontidae,,,,,2002
https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html,Sinraptor,sien-rap-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinraptor.jpg,large theropod,carnivorous,"China,Mongolia,Russia",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Carnosauria > Allosauroidea > Sinraptoridae,Gao (1992),hepingensis,,,,7.6,Mid Jurassic, 169-142 million years ago,169,142,27,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Carnosauria , Allosauroidea , Sinraptoridae,,,,,,,,,1992
https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html,Sonidosaurus,soh-nid-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sonidosaurus.jpg,sauropod,herbivorous,"China,Mongolia,Russia",Dinosauria > Saurischia > Sauropodomorpha > Sauropoda > Eusauropoda > Neosauropoda > Macronaria > Camarasauromorpha > Titanosauriformes > Titanosauria,"Xu, Zhang, Tan, Zhao and Tan (2006)",saihangaobiensis,,,,9.0,Late Cretaceous, 89-65 million years ago,89,65,24,Dinosauria , Saurischia , Sauropodomorpha , Sauropoda , Eusauropoda , Neosauropoda , Macronaria , Camarasauromorpha , Titanosauriformes , Titanosauria,,,,,,,,2006
